,comment,good,bad
0,아가는 울어도 돼..... 아가닉간.......😢😢,0,0
1,눈물이그냥 막 나올라하다가 재치있는 댓글들보고 웃어버림,0,0
2,코가 너무 찡해…,0,0
3,우애애애애앵.........ㅜㅜ,0,0
4,준호씨는 옷이 저거 밖에 없는 건가요..?,0,0
5,산타할아버지 제가 과속딱지 대신 내드릴테니깐 빨리 서울이 아부지 태워서 튀어오시라구요ㅠㅜㅠㅠ제발요,2,0
6,내가울엇다,0,0
7,몇번 정주행해도 눈물나아아... 너 애기야 떼쓰라구 보고싶다고..ㅠㅠㅠㅠㅠ 크리스마스는 26일로 미루죠?,0,0
8,아가 너 뭔데 이 이모 울리냐  ㅜㅜㅜㅜㅜ,3,0
9,"마루가 다시 강아지로 돌아간다면, 서율이가 또 얼마나 슬퍼할까.",0,0
10,아씨 눈물나,0,0
11,10화 도시락에 바다랑 배 모양 만들어져 있던게아부지 때문인가? 맞으면 나 여기서 무덤 팜,4,0
12,서율이가 나를울리네 ㅠ,1,0
13,가슴이 박..박...찢긴다.....서율아ㅠㅠㅠㅠㅠㅠ,1,0
